Arabis petraea
Chroodactylon ornatum
Vulpia myuros
Geranium endressii
Veronica beccabunga
Carex maritima
Sagina saginoides
Crepis biennis
Scrophularia chrysantha
Atriplex hastata
Persicaria dubia
Festuca arundinacea
Arabis brassica
Rhodobryum roseum
Calamagrostis epigejos
Carex maritina
Epilobium roseum
Sagina subulata
Dactylorhiza maculata
Drepanophycus spinaeformis
Viola rupestris
Dianthus caryophyllus
Bromopsis ramosa
Equisetum fluviatile
Sagina xnormaniana
Sagina normaniana
Carex media
Peplis portula
Atriplex hortensis
Poa compressa
Luzula confusa
Micranthes foliolosa
Salix brekkavier
Micranthes hieraciifolia
Hieracium plicatum
Arabis caucasica
Hepatica nobilis
Sibbaldia procumbens
Myosotis alpestris
Alcyonidium diaphanum
Nitzschia closterium
Glaucium flavum
Micranthes nivalis
Cypripedium calceolus
Scapania subalpina
Bryum pseudotriquetrum
Medicago turbinata
Centaurea orientalis
Sibbaldianthe bifurca
Epilobium tetragonum
Juglans regia
Atriplex laciniata
Hieracium radinum
Lathyrus hirsutus
Platanthera montana
Erigeron eriocephalus
Micranthes stellaris
Micranthes tenuis
Breutelia chrysocoma
Nitzschia delicatissima
Atriplex lapponica
Allium cepa
Taxus baccata
Aruncus dioicus
Saxifraga tridactylites
Festuca baffinensis
Viola selkirkii
Anemone nemorosa
Platanthera obtusata
Euonymus europaea
Gelidium corneum
Dupontia fisheri
Euonymus europaeus
Lophozia adscendens
Polygonum aviculare
Digitaria sanguinalis
Didymodon asperifolius
Plagiopus oederianus
Lathyrus japonicus
Scapania uliginosa
Acer pseudoplatanus
Populus nigra
Eranthis hyemalis
Carex microglochin
Hordeum secalinum
Platanthera parvula
Gnaphalium sylvaticum
Luzula sudetica
Taraxacum mucronatum
Geocalyx graveolens
Oxytropis lapponica
Hieracium praealtum
Dichelyma falcatum
Aruncus sylvestris
Festuca brachyphylla
Atriplex littoralis
Nitzschia frigida
Atriplex longipes
Bryum purpurascens
Hieracium praecanulum
Bryoerythrophyllum ferruginascens
Cochlearia groenlandica
Hieracium orbicans
Campanula patula
Carex salina
Polygala serpyllifolia
Sonchus arvensis
Mentha spicata
Achillea ptarmica
Lejeunea cavifolia
Caucalis platycarpos
Bryoerythrophyllum recurvirostrum
Potamogeton pectinatus
Nitzschia grunowii
Sparganium erectum
Melampyrum cristatum
Scorpidium cossonii
Meiodiscus spetsbergensis
Calamagrostis lapponica
Galium spurium
Calamagrostis arundinacea
Alchemilla acutidens
Cochlearia officinalis
Diphyscium foliosum
Sawdonia ornata
Sonchus asper
Dupontia psilosantha
Fucus distichus
Cardaminopsis halleri
Lathyrus latifolius
Viola suavis
Atriplex nitens
Ruppia cirrhosa
Scrophularia nodosa
Myosotis arvensis
Lycium barbarum
Helictotrichon pratense
Alchemilla acutiloba
Petasites frigidus
Monosporus pedicellatus
Allium schoenoprasum
Galanthus nivalis
Taraxacum lingulatum
Anemone ranunculoides
Conocephalum conicum
Cardaminopsis petraea
Hieracium praenodatum
Hornungia petraea
Fucus evanescens
Cephalanthera rubra
Pyrus communis
Pinguicula villosa
Ruppia maritima
Oxalis stricta
Conocephalum salebrosum
Heterocladium heteropterum
Hieracium praetenerum
Impatiens glandulifera
Salix herbacea
Carex montana
Lathyrus linifolius
Festuca gigantea
Potamogeton natans
Lythrum hyssopifolia
Arabis glabra
Hieracium pratense
Equisetum variegatum
Chaenomeles japonica
Honckenya peploides
Crataegus monogyna
Lactuca sativa
Draba oxycarpa
Nitzschia longissima
Trigonella caerulea
Anthelia julacea
Hieracium prenanthoidea
Hieracium prenanthoides
Arabis hirsuta
Blastophysa rhizopus
Populus tremula
Anemone sylvestris
Astragalus cicer
Rubus cyclomorphus
Astragalus glycyphyllos
Carum carvi
Erigeron humilis
Trigonella corniculata
Urtica dioica
Avena fatua
Poa flexuosa
Calamagrostis neglecta
Monostroma arcticum
Atriplex patula
Portulaca oleracea
Coeloglossum viride
Mastocarpus stellatus
Bryonia alba
Monostroma fuscum
Viola tricolor
Hemerocallis fulva
Gracilaria gracilis
Monostroma grevillei
Mnium marginatum
Mylia anomala
Hieracium orphnolepium
Dactylorhiza fuchsii
Torilis japonica
Crataegus grayana
Mylia taylorii
Lejeunea patens
Sphagnum isoviitae
Kobresia myosuroides
Pseudorchis albida
Hieracium prolepideum
Bryonia cretica
Carex muricata
Monostroma obscurum
Poa glauca
Sphagnum jensenii
Schistidium poeltii
Hieracium protractiforme
Fallopia dumetorum
Hieracium protractum
Pseudorchis straminea
Hydrocotyle vulgaris
Hymenostylium recurvirostrum
Leucanthemum ircutianum
Hesperis tristis
Bryum cryophilum
Lathyrus niger
Heterocladium wulfsbergii
Gentiana purpurea
Scrophularia vernalis
Cladium mariscus
Kobresia simpliciuscula
Harpalejeunea ovata
Calamagrostis phragmitoides
Lonicera nigra
Clematis vitalba
Fumaria vaillantii
Geranium bohemicum
Dicranoweisia compacta
Silybum marianum
Cota tinctoria
Microbryum davallianum
Lejeunea ulicina
Dicranodontium asperulum
Sagittaria sagittifolia
Chimaphila umbellata
Halosaccion ramentaceum
Pohlia andalusica
Atriplex prostrata
Carex nardina
Pohlia andrewsii
Pohlia annotina
Mielichhoferia mielichhoferiana
Taraxacum decorum
Euphrasia scottica
Lathyrus odoratus
Pohlia atropurpurea
Calamagrostis pseudophragmites
Odontoschisma denudatum
Solanum carolinense
Funaria hygrometrica
Poa hartzii
Polypodium vulgare
Pohlia bulbifera
Odontoschisma elongatum
Tanacetum coccineum
Trigonella procumbens
Rubus dissimulans
Woodsia alpina
Melica altissima
Rosa dumalis
Nitzschia seriata
Carduus hamulosus
Amblystegium confervoides
Taraxacum dissimile
Geranium carolinianum
Odontoschisma macounii
Rumex palustris
Carex viridula
Campanula persicifolia
Pohlia cruda
Odontoschisma sphagni
Anthyllis vulneraria
Daphne mezereum
Amblystegium fluviatile
Atriplex rosea
Comastoma tenellum
Sonchus oleraceus
Anacamptis morio
Leucanthemum vulgare
Pohlia crudoides
Campylopus fragilis
Anoectangium aestivum
Amblystegium humile
Cryptothallus mirabilis
Dicranodontium denudatum
Cerinthe major
Pohlia drummondii
Woodsia glabella
Calamagrostis purpurea
Doronicum columnae
Hieracium oxygonium
Antennaria carpatica
Pohlia elongata
Saxifraga adscendens
Woodsia hybrid
Tortella tortuosa
Carex nigra
Sonchus palustris
Poa humilis
Melica nutans
Woodsia ilvensis
Anoectangium compactum
Pohlia erecta
Lotus corniculatus
Crataegus laevigata
Quercus petraea
Chrysosplenium alternifolium
Pohlia filum
Saxifraga aizoides
Alyssum alyssoides
Hyacinthoides non-scripta
Persicaria lapathifolia
Chamaecyparis nootkatensis
Salix caprea
Hieracium thoolepis
Thalictrum flavum
Leucanthemum superbum
Sisymbrium altissimum
Peyssonnelia dubyi
Borago officinalis
Lychnis alpina
Eurhynchium pumilum
Rhynchospora alba
Pohlia lescuriana
Sphagnum tenellum
Arctagrostis latifolia
Geranium columbinum
Lathyrus pratensis
Salvia verticillata
Amblystegium serpens
Euphrasia stricta
Doronicum orientale
Pohlia longicollis
Doronicum pardalianches
Bryum rubens
Doronicum plantagineum
Plagiothecium laetumsecundum
Erigeron neglectus
Laburnum alpinum
Festuca edlundiae
Atriplex tatarica
Laburnum anagyroides
Pohlia nutans
Amblystegium subtile
Calamagrostis stricta
Pohlia obtusifolia
Carex norvegica
Halosphaera viridis
Sphagnum capillifolium
Melampyrum pratense
Lathyrus sativus
Hieracium pubescens
Laburnum watereri
Fallopia bohemica
Carex norvegicax
Urtica urens
Crataegus macracantha
Sesleria caerulea
Pimpinella anisum
Pohlia proligera
Spinacia oleracea
Carex binervis
Draba muralis
Silene involucrata
Agrostis clavata
Lathyrus silvestris
Tanacetum parthenium
Taraxacum macrocentrum
Hieracium resupinatum
Phaeophila dendroides
Nicotiana rustica
Amelanchier lamarckii
Vicia melanops
Viola wittrockiana
Orthotrichum pylaisii
Carex flava
Geranium dissectum
Alopecurus geniculatus
Veronica anagallis-aquatica
Ptychomitrium polyphyllum
Pohlia sphagnicola
Didymodon tophaceus
Platygyrium repens
Bryum rutilans
Chrysosplenium tetrandrum
Hygrohypnum alpestre
Leontodon autumnalis
Geranium divaricatum
Festuca filiformis
Carex rostrata
Luzula luzuloides
Hieracium achlyocephalum
Hieracium sabaudum
Chamaecytisus hirsutus
Cryptogramma crispa
Erodium cicutarium
Polypogon monspeliensis
Phippsia algida
Taraxacum maculigerum
Poa nemoralis
Anthelia juratzkana
Verbena bonariensis
Myosotis decumbens
Bryum salinum
Coreopsis verticillata
Phippsia concinna
Lathyrus tuberosus
Plantago afra
Hieracium radiopes
Draba nemorosa
Calystegia sepium
Carex capitata
Heterocladium dimorphum
Trichophorum alpinum
Poa lindebergii
Dicranodontium uncinatum
Trichophorum caespitosum
Orthilia secunda
Calliergonella cuspidata
Trichophorum cespitosum
Rosa glauca
Bazzania tricrenata
Eurybia sibirica
Tanacetum vulgare
Cassiope tetragona
Hieracium lateovatum
Sphagnum magellanicum
Valerianella eriocarpa
Allium fistulosum
Atropa bella-donna
Trichophorum pumilum
Baldellia ranunculoides
Myosotis discolor
Alyssum hirsutum
Baldellia repens
Fissidens adianthoides
Aconitum xstoerkianum
Thalictrum simplex
Schmitzia hiscockiana
Lythrum portula
Hieracium foliosa
Sorbus aria
Brachypodium pinnatum
Coreopsis tinctoria
Cotoneaster divaricatus
Hieracium relaxatum
Solanum curtipes
Rosa spaethiana
Hieracium repandulans
Lythrum salicaria
Bryopsis hypnoides
Saxifraga svalbardensis
Luzula pallescens
Deschampsia cespitosa
Rubus fissus
Saxifraga cernua
Pimpinella major
Festuca guestfalica
Sisymbrium irio
Melica picta
Anthemis arvensis
Bryopsis lyngbyei
Cotoneaster None
Fagopyrum esculentum
Limonium thouinii
Ipomoea hederacea
Narcissus po
Bazzania trilobata
Anethum graveolens
Convallaria majalis
Hieracium rhogaleum
Eschscholzia californica
Calystegia soldanella
Eugomontia sacculata
Carex ornithopoda
Anthemis austriaca
Juncus acutiflorus
Nepeta racemosa
Lythrum virgatum
Aloina brevirostris
Bryopsis plumosa
Quercus robur
Camelina alyssum
Dahlia pinnata
Cladophora rupestris
Luzula multiflora
Fagopyrum tataricum
Senecio ovatus
Festuca heteromalla
Arrhenatherum elatius
Ceramium rubrum
Nuphar lutea
Echium plantagineum
Radiola linoides
Sanguisorba minor
Sisymbrium loeselii
Spergula arvensis
Cynosurus cristatus
Phyllophora pseudoceranoides
Hordeum vulgare
Orchis mascula
Hieracium rivoënse
Carex otrubae
Monotropa hypopitys
Cynosurus echinatus
Hypnum bambergeri
Dicranum angustum
Anisantha madritensis
Carex paleacea
Climacium dendroides
Armeria maritima
Carex ovalis
Fissidens bryoides
Adonis annua
Rhabdoweisia crenulata
Acrochaete wittrockii
Teucrium scorodonia
Rhabdoweisia crispata
Clarkia unguiculata
Harpanthus flotovianus
Grimmia incurva
Petroselinum crispum
Arctium lappa
Festuca hyperborea
Corydalis cava
Harpanthus scutatus
Rhabdoweisia denticulata
Hieracium rosulatum
Rhabdoweisia fugax
Juncus alpinoarticulatus
Senecio paludosus
Brachypodium sylvaticum
Bulbostylis capillaris
Cotoneaster bullatus
Aethusa cynapium
Pimpinella saxifraga
Arctium minus
Spergula morisonii
Anthemis cotula
Melica uniflora
Nuphar pumila
Tilia europaea
Abies nordmanniana
Avena sativa
Aethusa cynapiumcynapioides
Leptoscyphus cuneifolius
Acaulon muticum
Sisymbrium officinale
Polygonatum verticillatum
Rubus fruticosus
Arctium nemorosum
Veryhachium lairdii
Acanthoxanthium spinosum
Saxifraga tenuis
Anthoxanthum nipponicum
Saxifraga cotyledon
Navicula hilseana
Juncus anceps
Moneses uniflora
Sisymbrium orientale
Nepeta faassenii
Rhynchospora fusca
Quercus rubra
Aglaothamnion bipinnatum
Asperugo procumbens
Dryptodon patens
Hieracium sabauda
Nymphoides peltata
Carex pallescens
Potamogeton perfoliatus
Polygala vulgaris
Juncus arcticus
Cotoneaster dammeri
Hieracium lawsonii
Echium vulgare
Ipomoea lacunosa
Sorbus aucuparia
Rubus fuscus
Thalictrum kemense
Pentaglottis sempervirens
Bidens cernua
Arabis thaliana
Ambrosia artemisiifolia
Hylocomiastrum pyrenaicum
Aneura pinguis
Synedropsis hyperborea
Cotoneaster dielsianus
Homomallium incurvatum
Hylocomiastrum umbratum
Geranium lucidum
Bromus benekenii
Thlaspi arvense
Potamogeton filiformis
Campylium calcareum
Isopterygiopsis alpicola
Arctoa anderssonii
Scutellaria galericulata
Geranium macrorrhizum
Carex panicea
Campylium chrysophyllum
Racomitrium aquaticum
Stachys annua
Chaerophyllum aromaticum
Solanum dulcamara
Arctoa hyperborea
Didymodon rigidulus
Ornithopus sativus
Carex vulpina
Acer negundo
Campylium elodes
Chaerophyllum aureum
Juncus articulatus
Andreaea blyttii
Ranunculus glacialis
Carex paniculata
Chaerophyllum bulbosum
Isopterygiopsis muelleriana
Thlaspi caerulescens
Fissidens dubius
Poa palustris
Sphagnum riparium
Pyrola grandiflora
Fissidens dubiusmucronatus
Acrosiphonia sonderi
Lactuca tatarica
Campylium polygamum
Hylocomium pyrenaicum
Cruciata laevipes
Hylocomium splendens
Asarum europaeum
Amphidium mougeotii
Sphagnum molle
Herminium monorchis
Campylium protensum
Pyrola media
Selaginella selaginoides
Carex scirpoidea
Juncus ranarius
Prasanthus suecicus
Pyrola minor
Ranunculus wilanderi
Dictyotidium reticulatum
Campylium sommerfeltii
Fissidens exilis
Dactylis glomerata
Campylium stellatum
Amsinckia micrantha
Carex parallela
Geum macrophyllum
Cephalozia bicuspidatalammersiana
Alchemilla borealis
Plantago maritima
