Scientific name	Epithet	Kingdom	Phylum	Class	Order	Family	Genus	Species
Gentianella amarella	amarella	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentianella	Gentianella amarella
Gentiana lutea	lutea	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana lutea
Centaurium triphyllum	triphyllum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium triphyllum
Amsonia peeblesii	peeblesii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Amsonia	Amsonia peeblesii
Eustoma exaltatum	exaltatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Eustoma	Eustoma exaltatum
Halenia recurva	recurva	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Halenia	Halenia recurva
Metastelma arizonicum	arizonicum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum arizonicum
Strychnos nux-blanda	nux-blanda	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos nux-blanda
Strophanthus wallichii	wallichii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Strophanthus	Strophanthus wallichii
Cynanchum caudatum	caudatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Cynanchum	Cynanchum caudatum
Gentiana sikokiana	sikokiana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana sikokiana
Trachelospermum jasminoides	jasminoides	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Trachelospermum	Trachelospermum jasminoides
Trachelospermum asiaticum asiaticum	asiaticum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Trachelospermum	Trachelospermum asiaticum
Centaurium spicatum	spicatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium spicatum
Halenia weddelliana	weddelliana	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Halenia	Halenia weddelliana
Ectadiopsis producta	producta	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Ectadiopsis	Ectadiopsis producta
Gentiana fischeri	fischeri	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana fischeri
Swertia perennis	perennis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Swertia	Swertia perennis
Gentiana terglouensis	terglouensis	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Gentiana	Gentiana terglouensis
Strychnos elaeocarpa	elaeocarpa	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Loganiaceae	Strychnos	Strychnos elaeocarpa
Metaplexis japonica	japonica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Metaplexis	Metaplexis japonica
Trachelospermum asiaticum	asiaticum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Trachelospermum	Trachelospermum asiaticum
Asclepias hallii	hallii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Asclepias	Asclepias hallii
Oxypetalum appendiculatum	appendiculatum	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae	Oxypetalum	Oxypetalum appendiculatum
Tabernaemontana siphilitica	siphilitica	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Tabernaemontana	Tabernaemontana siphilitica
Asclepiadaceae		Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Asclepiadaceae		
Aspidosperma steinbachii	steinbachii	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Aspidosperma	Aspidosperma steinbachii
Beaumontia campanulata	campanulata	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Apocynaceae	Beaumontia	Beaumontia campanulata
Centaurium littorale glomeratum	littorale	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium littorale
Centaurium littorale	littorale	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium	Centaurium littorale
Chelonanthus uliginosus	uliginosus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chelonanthus	Chelonanthus uliginosus
Chelonanthus chelonoides	chelonoides	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chelonanthus	Chelonanthus chelonoides
Chelonanthus alatus	alatus	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chelonanthus	Chelonanthus alatus
Chelonanthus angustifolius	angustifolius	Plantae	Magnoliophyta	Magnoliopsida	Gentianales	Gentianaceae	Chelonanthus	Chelonanthus angustifolius
